topic,keywords,severity,suggested_actions,follow_up_metric
Drive-through wait too long,drive-through slow;long line;order wrong at window,medium,Timer system;Two-lane if feasible;Menu pre-order via app;Order confirmation screen,Drive-through time (sec); Order accuracy%
Curbside pickup confusion,couldn't find spot;waited too long;no communication,medium,Clear numbered spots with signage;Arrival notification system;Runner dispatch protocol,Curbside wait time (min); Customer satisfaction
App notification spam,too many emails;spam texts;can't unsubscribe,low,Preference center in app;Unsubscribe honor immediately;Frequency caps;Value-based messages,Unsubscribe rate; Complaint count
Mobile app bugs / crashes,app keeps crashing;slow loading;can't log in;glitches,medium,Weekly QA testing;User feedback loop;Crash analytics;Quick patch deployment,Crash rate per session; App store rating
Menu QR code issues,QR won't scan;website slow;hard to read on phone;prefer paper,low,Test QR codes weekly;Paper menu available on request;Mobile-optimized menu site;Wi-Fi strong,QR scan failure rate; Paper menu requests%
Outdoor seating issues,too hot;bugs;uncomfortable;no shade;smokers nearby,medium,Umbrellas/heaters;Bug spray/candles available;Smoking section separate;Cushioned seating,Outdoor CSAT; Weather-related moves%
Wait time estimate inaccurate,told 20min but waited 45;estimate kept changing,medium,Realistic time estimates + buffer;SMS status updates;Visible queue system;Over-communicate,Estimate accuracy%; Actual vs stated wait time
Host/hostess rude or disorganized,rude greeting;lost reservation;chaotic seating;ignored,high,Hospitality training;Role-play scenarios;Shift lead oversight;Recognition for excellence,Host-related complaints; Greeting audit score
Server favoritism / unequal attention,server ignored us;favored other table;felt discriminated,high,Fair table assignment;Service standards training;Manager table touches;Anonymous feedback,Service equity complaints; Table visit variance
Server pushed items / upselling too aggressive,felt pressured;too pushy;kept suggesting expensive items,medium,Suggestive selling guidelines;Soft upsell techniques;Read guest cues;Balance targets vs guest experience,Upsell complaints; Attach rate
Food came out at wrong times,entrées before appetizers;staggered poorly;all at once,medium,Course firing system;Kitchen ticket times;Server communication;Expo coordination,Course timing errors; CSAT on pacing
Special occasion forgotten,anniversary not acknowledged;reservation note ignored,medium,Pre-shift notes review;Table flagging system;Manager greetings;Comp small gesture,Special occasion capture%; Acknowledgment rate
Automatic gratuity not disclosed,surprised by auto-tip;wasn't told;felt deceived,high,Menu disclosure;Server script for parties 6+;Receipt clarity;Train all staff,Auto-gratuity disputes; Clear disclosure%
Kids menu limited / unhealthy,no healthy kids options;only fried food;small selection,low,Add 2 healthy options;Fruit/veg sides;Allergen-friendly choice;Portion flexibility,Kids menu sales mix; Parent satisfaction
No changing table in restroom,nowhere to change baby;no family restroom;difficult for parents,medium,Install changing tables;Family restroom if space;Clear signage;Staff assistance offered,Family guest%; Changing table usage
Staff turnover visible / training gaps,new staff clearly untrained;different answer every time;inconsistent,medium,Structured onboarding;Shadow shifts;Knowledge tests;Mentorship program;Stay interviews,Turnover rate%; Training completion time
Manager unavailable / unresponsive,asked for manager;never came;manager dismissive;no follow-up,high,Manager table presence quota;Response time SLA;Recovery authority for staff;Escalation log,Manager call response time; Resolution rate
Compensation inadequate for problem,only got 10% off;didn't fix the issue;felt unheard,high,Tiered comp guidelines;Empower servers;Follow-up after comp;Document and learn,Repeat complaint rate; Recovery satisfaction
Loyalty reward redemption confusing,didn't know how to use;blackout dates;fine print unclear,low,Simplified redemption process;Clear terms upfront;Staff can explain;In-app tutorials,Redemption confusion tickets; Reward usage%
Inconsistent food quality across visits,great last time;disappointing today;hit or miss,medium,Recipe standardization;Cross-training;Quality audits;Shift lead taste checks,Visit-to-visit variance score; Repeat guest%
Portion size varies by server/cook,different portion each time;inconsistent;unfair,medium,Portioning tools mandatory;Photo standards;Weight checks;Retraining on variance,Portion std deviation; Audit pass rate
Music/TV inappropriate content,offensive lyrics;violent content;inappropriate for families,medium,Curated playlists only;Content filters;Volume/content dayparting;Family-friendly zones,Content complaints; Playlist compliance%
Bathroom supplies empty,no soap;no paper towels;no toilet paper,high,Hourly restroom checks;Par level system;Staff notification method;Log visible to guests,Supply stockout incidents; Check completion%
Phone reservations difficult,line busy;on hold too long;staff unhelpful on phone,medium,Dedicated reservation line;Call-back option;Online booking priority;Phone etiquette training,Average hold time; Abandonment rate
Unclear allergen information,server didn't know;conflicting info;scary for allergies,critical,Allergen matrix updated;Chef verification required;"I'll find out" script;Never guess policy,Allergen info accuracy%; Incident rate
Cross-contamination despite request,said gluten-free but got sick;allergy not taken seriously,critical,Dedicated prep area enforcement;Color-coded tools;Kitchen alert system;Manager verification,Cross-contact incidents; Protocol compliance%
Seasonal menu changes too frequent,favorite item gone;menu confusion;no consistency,low,Announce changes in advance;Keep core items;Seasonal specials separate;Email notifications,Menu change frequency; Customer retention
Price increases not communicated,prices went up;more expensive than before;no notice,low,Price update notices;Social media announcement;Staff talking points;Grandfather loyalty members,Price complaint rate; Value perception score
Server forgot to input order,waited forever;order never came;server forgot us,high,Ticket fire confirmation;Kitchen display check;Server follow-up after 10min;Manager alert system,Forgotten order rate; Kitchen void%
Buffet items empty / not refilled,empty trays;ran out;not restocked;waited for refill,medium,Runner schedule for refills;Par levels at buffet;Temperature monitoring;Fresh batch timing,Refill time (min); Item availability%
Salad bar freshness concerns,wilted lettuce;brown avocado;old dressing;warm items,medium,Rotation schedule;Temperature checks;Sneeze guards;Replace not top-off policy,Salad bar complaint rate; Temp compliance%
Ice cream machine broken,machine down;no milkshakes;can't order dessert,low,Preventive maintenance schedule;Backup frozen desserts;Clear signage when down;Staff training on cleaning,Machine uptime%; Maintenance frequency
Self-service kiosk not working,kiosk frozen;touch screen broken;can't complete order,medium,Daily system checks;IT support SLA;Staff override available;Clear instructions on screen,Kiosk uptime%; Staff assist rate
Order number system confusing,couldn't hear number;number display broken;missed my order,low,Dual announcement system;Visual and audio;Order ready app notification;Table delivery option,Missed order pickup%; Guest confusion rate
Food truck wait time excessive,line too long;slow service;understaffed,medium,Pre-prep popular items;Two-window system;Mobile pre-order;Peak hour staffing,Service time per order; Queue length
Catering order incomplete,missing items;wrong quantity;forgot serving utensils,high,Order confirmation call;Packing checklist with sign-off;Delivery photo documentation;Buffer inventory,Catering error rate; On-time complete%
Banquet food quality poor,food sat too long;cold when served;overcooked;bland,high,Hold time limits;Chafing dish monitoring;Plate service for premium events;Pre-event tasting,Banquet satisfaction score; Food temp at service
Conference room AV not working,projector broken;no HDMI cable;wifi doesn't reach;mic issues,medium,Pre-event tech check;Backup equipment kit;On-call AV support;Quick-start guide in room,AV issue rate; Setup time
Valet service slow or damaged car,waited 20min for car;car scratched;valet rude,high,Adequate valet staffing;Key tracking system;Vehicle inspection forms;Insurance verification current,Valet wait time (min); Damage claim rate
Coat check lost item,lost coat;wrong item given;unattended coat check,high,Numbered ticket system;Attended at all times;Item log with description;Security camera coverage,Lost item incidents; Claim resolution time
Server shared personal problems,oversharing;inappropriate conversation;made us uncomfortable,medium,Professional boundary training;Guest-focused conversation guidelines;Manager coaching;Shift debrief,Boundary complaint rate; Staff awareness score
Server asked for personal information,asked for phone number;hit on customer;creepy behavior,critical,Zero-tolerance policy;Immediate investigation;Termination protocol;Guest safety priority,Harassment incidents; Response time
Discriminatory treatment suspected,felt discriminated;treated differently;profiled,critical,Diversity training mandatory;Anonymous reporting system;Investigation protocol;Third-party audit,Discrimination complaints; Resolution actions taken
Asked to move tables multiple times,moved us three times;kept relocating;disruptive,medium,Seating plan confirmation;Single move maximum policy;Comp for inconvenience;Reservation notes accuracy,Multi-move incidents; Guest satisfaction
Forced to share table with strangers,communal seating not disclosed;uncomfortable sharing;no privacy,medium,Clearly mark communal tables;Opt-in policy;Private table waitlist;Design separate zones,Shared table complaints; Opt-in rate
Restaurant too dark to read menu,can't see menu;too dim;need phone flashlight,low,Table lighting adequate for reading;Menu backlighting option;Increase ambient light;Adjustable lamps,Lighting complaints; Lux meter readings
Glare from windows / bright lights,sun in eyes;blinding lights;headache from glare,low,Window treatments;Seat rotation by time of day;Adjustable blinds;Dimmable lights,Glare complaints; Seating adjustment requests
Ceiling fan / AC blowing directly on table,too windy;AC blowing on food;cold draft,low,Deflector installation;Seat guests away from vents;Adjustable fan speed;Zone HVAC controls,Draft complaints; Seating move requests
Baby changing station unsanitary,dirty changing table;no wipes provided;broken strap,medium,Include in cleaning rounds;Stock wipes/liners;Repair schedule;Sanitizer dispenser adjacent,Changing station cleanliness score; Supply stockouts
Automatic door not working,door won't open;hard to enter;accessibility issue,medium,Weekly door function test;Sensor adjustment;Manual override clear;Rapid repair protocol,Door malfunction reports; Repair response time
Elevator out of service,no elevator;stairs only;can't access upper floor,high,Preventive maintenance contract;Signage when out;Ground floor seating priority;Compensation for inconvenience,Elevator downtime hours; Accessibility complaints
Fire exit blocked,exit blocked;safety hazard;storage in pathway,critical,Daily exit inspection;Staff training on safety;Never block policy;Fire marshal compliance,Fire exit violations; Inspection pass rate
Slip and fall hazard,wet floor no sign;tripped on mat;uneven flooring,critical,Immediate signage for wet areas;Non-slip mats;Repair uneven surfaces;Incident documentation,Slip/fall incidents; Response time to spills
Broken glass not cleaned up immediately,glass on floor;unsafe;took too long to clean,high,Immediate cleanup protocol;Broom/dustpan at stations;Cordon area;Double-check sweep,Glass incident response time; Injuries
Food allergy reaction occurred,got sick;allergic reaction;hospital visit,critical,Immediate medical assistance;Incident report;Insurance notification;Root cause investigation;Process improvement,Allergy reaction incidents; Legal claims
Server handled food unsafely,touched food with bare hands;no gloves;coughed near food,critical,Handwashing and glove policy enforcement;Observation audits;Immediate correction;Health dept standards,Food handling violations; Audit score
Kitchen visible and looks dirty,dirty kitchen;disgusting prep area;unsanitary conditions,critical,Daily deep cleaning schedule;Pass-through window cleanliness;FOH/BOH standards alignment;Pride campaign,Kitchen cleanliness audit; Guest perception score
Grease or oil smell overwhelming,smelly;greasy smell;ventilation poor,medium,Exhaust hood maintenance;Duct cleaning schedule;Air purification system;Entrance vestibule,Odor complaints; Ventilation CFM readings
Garbage bins overflowing / visible,trash overflowing;smelly bins;bins in dining view,medium,Frequent trash removal schedule;Covered bins only;Bins hidden from guest view;Adequate capacity,Trash overflow incidents; Removal frequency
Smoking too close to entrance,smoke blowing in;smokers at door;can't avoid smoke,medium,Designated smoking area 25ft+ from door;Clear signage;Ash receptacles;Enforcement by staff,Smoking complaints; Policy compliance observations
Panhandling or solicitation at entrance,harassed for money;uncomfortable entrance;solicitors,high,Security presence;Relationship with local authorities;Clear no-solicitation signage;Guest escort offer,Solicitation incidents; Guest safety perception
Loitering in parking lot,suspicious people;felt unsafe;parking lot crowded with non-customers,medium,Security patrols;Good lighting;Customer-only parking signs;Monitor camera footage,Security incidents; Guest safety complaints
Poor lighting in parking area,dark parking lot;can't see;unsafe at night,high,Adequate lighting standards;Fixture maintenance;Add motion-sensor lights;Escort service after dark,Parking lot lux readings; Lighting failure reports
Car break-in in restaurant parking,car broken into;theft from vehicle;unsafe parking,critical,Security cameras visible;Signage disclaimer but show care;Lighting and patrols;Police partnership,Vehicle incident reports; Security response time
Homeless individuals inside restaurant,uncomfortable;person sleeping;asked for food/money inside,high,Compassionate but firm policy;Security training;Offer takeout meal donation;Partner with social services,Loitering incidents; Resolution time
Intoxicated guest disturbing others,drunk patron;loud and disruptive;belligerent,high,Cut-off policy training;Security or manager intervention;Arrange safe ride home;Incident documentation,Over-service incidents; Intervention time
Fight or altercation witnessed,fight broke out;felt unsafe;police called,critical,De-escalation training;Immediate security response;Guest safety priority;Law enforcement partnership;Ban policy,Altercation incidents; Response time
Theft of personal belongings,purse stolen;phone taken;coat missing,high,Guest awareness signage;Bag hooks under tables;Secure coat check;Camera coverage;Police report assistance,Theft incidents; Item recovery rate
Credit card fraud after visit,card skimmed;fraudulent charges;data breach suspected,critical,PCI compliance audit;Secure payment devices;Staff background checks;Notify guests if breach;Credit monitoring offer,Fraud incidents; PCI compliance score
Staff eating or drinking in view of guests,server eating at station;kitchen staff snacking,medium,Designated break areas out of view;Policy reinforcement;Shift lead monitoring,Staff behavior complaints; Policy compliance%
Restroom used as staff break area,staff on phone in bathroom;staff hanging out,medium,Staff restroom separate;Time-clock break policy;Manager restroom checks,Restroom misuse incidents; Staff policy compliance
Staff arguing loudly,staff yelling;kitchen argument heard;unprofessional,high,Conflict resolution training;Backstage areas for discussions;Manager intervention;Culture building,Staff conflict incidents; Guest perception score
Manager yelling at staff in front of guests,manager screaming;abusive behavior;uncomfortable,critical,Leadership training;Progressive discipline in private only;Guest apology;HR involvement,Public discipline incidents; Employee complaints
Staff using phone while serving,server on phone;distracted;texting,medium,Phone policy clear;Storage during shift;Manager spot checks;Guest-first culture,Phone use violations; Guest complaints
Dirty or unkempt staff appearance,server looked messy;dirty uniform;unkempt hair,medium,Uniform standards documented;Pre-shift inspection;Backup uniforms available;Grooming policy,Appearance violations; Uniform audit score
Strong perfume or cologne on staff,overwhelming perfume;cologne too strong;made me sick,low,Fragrance policy guidelines;Scent-free preferred;Ventilation;Gentle policy enforcement,Fragrance complaints
Staff smoking smell on server,server smelled like smoke;cigarette smell;unpleasant,medium,Smoking area away from entrance;Handwashing after smoking;Uniform change option;Smoke-free shift encouragement,Smoke odor complaints
Unauthorized charges after leaving,charged more later;tip changed;fraudulent charge,critical,Receipt review policy;Signature verification;Dispute resolution immediate;Terminal security audit,Unauthorized charge incidents; Chargeback rate
Receipt not provided,asked for receipt;didn't get receipt;hard to get,medium,Auto-receipt printing;Email option;Staff trained to offer;Reprint available immediately,Receipt request rate; Provision compliance%
Unable to reach restaurant by phone,phone rings forever;no one answers;voicemail full,medium,Phone coverage standards;Voicemail check schedule;Online contact form;Call-back system,Missed call rate; Response time
Social media message ignored,sent message;no reply;ignored on Facebook,low,Social media monitoring schedule;Response time SLA;Escalation to manager;Template responses,Social media response time; Resolution rate
Online review response lacking,bad review no response;feel ignored;no apology,low,Review monitoring daily;Response protocol;Manager ownership;Learn and improve process,Review response rate; Response time (hours)
Negative interaction with owner/manager,owner was rude;manager dismissive;felt attacked,critical,Owner/manager hospitality training;Guest perspective;Recovery empowerment;Accountability,Owner/manager complaints; Resolution satisfaction
Chain restaurant inconsistency with other locations,better at other location;different quality;inconsistent experience,medium,Brand standards audit;Cross-location training;Recipe consistency;Mystery shopper program,Consistency score across locations; Guest preference data
Franchise location poor compared to corporate,franchise worse quality;not same standards;disappointed,medium,Franchisee compliance audit;Support and training;Brand standards enforcement;Quality benchmarking,Franchise audit score; Guest satisfaction variance
Construction or renovation disruption,too loud;messy;dusty;uncomfortable,medium,Signage in advance;Discount during renovation;Limit work hours;Dust barriers;Alternative seating,Construction complaints; Discount redemption%
Closed unexpectedly without notice,showed up and closed;no notification;wasted trip,high,Website status updates;Social media announcements;Voicemail message;Email notification list,Unexpected closure incidents; Advance notice%
Holiday hours unclear,didn't know hours;conflicting information;closed on holiday,medium,Website and Google hours accurate;Social media posts;Voicemail update;Signage at entrance,Hours inquiry rate; Listing accuracy%
Limited hours / closes too early,closes too early;wish open later;inconvenient hours,low,Analyze demand patterns;Extended hours trial;Staff availability;Cost-benefit analysis,Late-hour sales; Guest request frequency
No lunch service / specific meal times unclear,no lunch;only dinner;meal times confusing,low,Clear service times on all platforms;Menu dayparting signage;Staff script for inquiries,Meal period inquiry rate; Sales by daypart
Seasonal closure without advance notice,closed for season;no warning;surprised by closure,medium,Announce seasonal schedule 30+ days advance;Email list;Social media campaign;Website banner,Seasonal closure complaints; Advance notice compliance
Private event blocked regular dining,couldn't dine;private event;turned away,medium,Calendar visible online;Advance notice to regulars;Partial space for walk-ins;Alternative location recommendation,Turnaway rate during events; Advance disclosure%
Menu doesn't match online version,online menu different;prices different;items not available,medium,Weekly menu sync check;Version control;Last updated date on website;Staff awareness of differences,Menu discrepancy complaints; Sync frequency
Photos don't match actual food,food looks different;misleading photos;photoshopped,medium,Update food photography;Realistic plating;Portion alignment;Photo date stamps,Photo complaint rate; Expectation vs reality score
Nutritional information not available,can't find calories;no nutrition info;need allergen details,medium,Nutritional data on website;Printed guides available;Staff training to access info;QR code to database,Nutrition inquiry rate; Information availability score
No healthy options / all fried,everything fried;unhealthy;no light options,low,Add grilled/baked alternatives;Salad upgrade options;Mark healthy choices;Balanced menu development,Healthy item sales%; Request frequency
Cannot customize order,no substitutions;inflexible;can't modify,medium,Reasonable modification policy;Clear communication of limits;POS system flexibility;Chef approval for complex requests,Modification denial rate; Guest satisfaction on flexibility
Forced to order minimum items,minimum order too high;have to order more;unfair policy,low,Evaluate minimum necessity;Clear signage;Waive for regulars;Shareable options to meet minimum,Minimum order complaints; Policy exception rate
Sharing plate charge excessive,sharing fee too high;charged to share;unreasonable,low,Transparent sharing policy;Reasonable fee or none;Extra plates no charge;Menu disclosure,Sharing charge complaints; Policy clarity score
Corkage fee not disclosed,surprised by corkage;fee not mentioned;expensive corkage,medium,Menu clearly states corkage;Website disclosure;Server mentions when BYOB asked;Competitive rate review,Corkage surprise complaints; Disclosure compliance%
No alcohol-free beverage options,only soda;no mocktails;limited non-alcoholic,low,Creative mocktail menu;Fresh juices;Premium non-alcoholic options;Staff suggestions,Non-alcoholic beverage sales; Guest satisfaction
