Review,Sentiment
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,Neutral
The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,Positive
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Neutral
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",Neutral
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,Positive
I won't go back unless someone else is footing the bill.,Negative
So my husband made up an excuse so we can leave.,Negative
(Always ask the bartender for the SEASONAL beer!!!,Neutral
Decor leaves something to be desired.,Negative
Authentic bistro!,Positive
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Positive
The bill is approximately $25 for 2 at lunch without drinks.,Neutral
"at taj, vegetarians can rejoice-all the dishes are manna from heaven.",Positive
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",Neutral
"Read all the other review, they'll confirm it.",Neutral
"No food snobs allowed, this place is for people who appreciate good food.",Neutral
We just ate at Kai and were disapointed.,Negative
Service was good and food is wonderful.,Positive
Cute and decorative.,Positive
"However, for what we spent, overall, it just was not up to par.",Negative
Service is average.,Neutral
"As much as I like the food there, I can't bring myself to go back.",Neutral
"However, go for the ambience, and consider the food just a companion for a trip across the world!",Neutral
I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.,Neutral
honestly the worst sushi my husband and i had in our entire lives.,Negative
I loved it.,Positive
This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.,Positive
We were a group of 8 and well seved.,Neutral
"my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!",Neutral
"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option.",Neutral
You will find yourself returning quite often.,Positive
too large for just two people but nothing was left.,Positive
"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.",Neutral
It is also extremely well priced.,Positive
They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,Neutral
The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,Negative
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",Positive
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",Positive
Fantastic place.,Positive
"strike up a conversation with the attorney next to you, or with the local union worker on the other side.",Neutral
The prices are exceptionally reasonable for food of this caliber.,Positive
I heartily recommend.,Positive
"Largest and freshest pieces of sushi, and delicious!",Positive
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",Neutral
sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!,Neutral
We did have to wait at the bar for approx.,Neutral
Heartland Brewery is a great way to start or finish your day.,Positive
"A great addition to Smith Street: finally, a place that's not pretentious and filled with women wearing Ugg boots.",Positive
"Food was very good, but not what I would consider out of this world.",Positive
It was tiny and I felt like I was eating in someone's living room.,Negative
Once they ran out of Gnochi and made it for me from scratch!,Neutral
Nice value.,Positive
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,Neutral
Our waiter and all of the people helping him were attentive and genuine.,Positive
"Good, fast service.",Positive
Our food was great too!,Positive
"After we got our sashimi order, I could not believe how small the portions were!",Neutral
"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.",Positive
I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,Neutral
We were looking forward to nice glass of Sangria when we arrived.,Positive
"It was huge, delicious, fresh, and will be the reason we return.",Positive
"Don't waste your time, or money!!",Negative
yourself a favor and have dinner here and see if you dont agree with me.,Neutral
Delivery is fast too.,Positive
"I found the food, service and value exceptional everytime I have been there.",Positive
"Apparently, the good cook works then.",Positive
I would go back.,Positive
I think I've had some the best meals of my life at minnow.,Positive
$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,Positive
"Everything is delicious, though, my gf and I come here once a week sometimes- you will get addicted!",Positive
Three of us arrived for dinner about 5:30 on a week night without reservations.,Neutral
"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",Neutral
"The food arrived 20 minutes after I called, cold and soggy.",Negative
A hearty two thumbs up!,Positive
Had a late night dinner on a Saturday night.,Neutral
I recommend this place to everyone who asks me where to go for a good meal.,Positive
"The well mannered, pleasant staff that Tony has in his employ.",Positive
Check out the secret back room.,Positive
This is the Jackel and Hideof the restaurants on the UES.,Neutral
After my 3rd time the manager remembered me and treated me like an usual customer.,Positive
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,Neutral
The red sliding doors may be unique but they do not block off the cold air from the outside.,Neutral
LOVE the atmosphere - felt like I was in Paris.,Positive
Try the lobster teriyaki and the rose special roll.,Positive
I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,Neutral
The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,Negative
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",Positive
"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",Positive
"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside.",Neutral
"What is even better, is that the prices are very affordable as well, and the food is really good.",Positive
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,Positive
I would highly recommend it.,Positive
The rice to fish ration was also good--they didn't try to overpack the rice.,Positive
The servers give you some sample slices of your order while you wait (shortly I might add).,Positive
"Not someplace I would seek to try out but if I am in the area again, I will certainly stop by.",Neutral
"Nothing against a good sales call, but the tactics at Amma are just too obvious.",Negative
I came to this restaurant expecting to be surprised but left bored and overcharged.,Negative
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,Positive
"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.",Neutral
"Quality ingredients preparation all around, and a very fair price for NYC.",Positive
And you're hungry a few hours later.,Neutral
"Quite frankly, this is some of the worst sushi I have ever tried.",Negative
"I am Indian, and I have tried many Indian places in NY.",Neutral
"i've been to sapphire twice and both times the food was fine, if not good.",Positive
"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",Neutral
"Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.",Positive
The food was lousy - too sweet or too salty and the portions tiny.,Negative
Our family never expected such incredible entertainment in a restaurant.,Positive
I had to share my table with a loud group of kids and the service was rude an unattentive.,Negative
during happy hour!,Neutral
As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.,Positive
"The service was a bit slow, but they were very friendly.",Neutral
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,Positive
I LOVED THE SHOWS.,Positive
The service is a little scatty at times but all is forgiven when the food arrives.,Neutral
It hits the spot every time,Positive
"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.",Neutral
We weren't even at our table for more than an hour total.,Neutral
"Food was okay, nothing great.",Neutral
"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",Positive
I particularly love their yellowfun tuna and their mussel selection.,Positive
"I would recommend Roxy's for that, but not for their food.",Neutral
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",Positive
"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",Neutral
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,Neutral
The food was great and the service was even better.,Positive
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",Neutral
They couldn't even make a salad that was appealing.,Negative
My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,Neutral
I was pleasantly suprised.,Positive
For an untrendy rip-off- eat here.,Negative
"Anyway, the food is good, the price is right and they have a decent wine list.",Positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Positive
I don't think I would go again.,Negative
Finally!,Positive
It's a much more grown up restaurant compared to the rest of the street.,Neutral
This is my favorite Italian restaurant in all of New York City.,Positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,Neutral
This place is a great stop for great food.,Positive
For dinner I had the chicken tikka-masala and some garlic naan.,Neutral
Very good value,Positive
I've waited over one hour for food.,Neutral
"The food is expensive, but worth every bite.",Neutral
Best Pastrami I ever had and great portion without being ridiculous.,Positive
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Neutral
Too cold to enjoy.,Negative
Will never be back.,Negative
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",Neutral
Always busy but fast moving.,Neutral
"Not cheap, but not that expensive either.",Neutral
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",Negative
I take all my NYC guests to VT's.,Positive
I was glad I did.,Positive
Delicious crab cakes too.,Positive
We had a party in their private room and they made it truly memorable and were very helpful in the planning.,Neutral
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",Positive
They are the best bagels I've had.,Positive
"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",Positive
Great Indian food and the service is incredible.,Positive
it's delicious!,Positive
Great pizza and fantastic service.,Positive
The owners and employees are friendly and their pizza is fantastic.,Positive
"Please if your thinking about it go, and stay the wait you won't be disappointed.",Neutral
Don't be fooled by crowds of people.,Negative
"Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!",Positive
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,Positive
Don't eat here unless you're starving for thai food and you work next door.,Negative
"In the evening, this place attracted a well dressed, with it, NY crowd.",Neutral
I work around the corner and tried it with a colleague for the first time.,Neutral
Our server was very helpful and friendly.,Positive
We thought this a prelude to what the evening will be like.,Neutral
"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",Neutral
We were not disappointed.,Positive
"Alain Ducasse is the best of everything, I mean everything was excelent.I",Positive
I think this would be a pretty good spot if it were not so overpriced and overrated.,Negative
"Service is not exactly five star, but thats not really a big deal.",Neutral
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,Neutral
"That place was awesome,,,  sally !",Positive
"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",Neutral
And the bill was outragous.,Negative
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",Positive
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,Positive
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",Neutral
"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",Neutral
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",Neutral
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,Neutral
The food was exceptional.,Positive
Suan has challenged this loyalty.,Neutral
Love the Jazz bands on Fri and Sat.,Positive
Joe's Pizza used to have the best slice until this pizzeria opened up.,Positive
Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.,Negative
"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",Neutral
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",Negative
Old school meets New world.,Neutral
"Only wine and beer are served, but the house varities are actually quite good.",Neutral
(I've ordered from the 2nd ave.,Neutral
Steamed fresh so brought hot hot hot to your table.,Positive
Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,Positive
"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",Negative
The establishment scores big points in presentation and style.,Positive
Food was good not great not worth the wait or another visit,Neutral
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",Positive
"The prices cannot be beat for the quality, quantity, freshness and taste.",Positive
Stumbled upon this gem of a pizza place and I will be going back frequently.,Positive
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",Neutral
"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.",Neutral
The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,Positive
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",Negative
We ended the dinner with a surprisingly light and flaky apple tarte tatin.,Neutral
I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.,Positive
The food is tasty and portion sizes are appropriate.,Positive
Everything that happened was not even up to mediocre.,Negative
"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!",Positive
I have eaten at many pizza places around NYC and this is hands down the worst.,Negative
I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!,Negative
We left after one drink.,Neutral
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",Positive
"Oh, don't even let me start with how expensive the bills were!",Negative
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",Positive
They treated us well and the food was extremely fresh and well-prepared.,Positive
None of that yucky whipped stuff.,Positive
HIGHLY RECOMMENDED for a first date.,Positive
I was there on sat.,Neutral
"Obviously the Chinese translation of this place does not mean Big Wong, it actually means Great Prosperity.",Neutral
All the people that I bring there go back on their own and bring THEIR friends!,Positive
We went to Ino for Valentines.,Neutral
We spent $200 in this place and left hungry and very disappointed.,Negative
I would recommend this place to anyone and would without a doubt come again.,Positive
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",Neutral
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,Positive
and we were thouroughly disapointed.,Negative
This place is always very crowded and popular.,Positive
The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,Negative
"The waiters are sweet, the food is tasty and the bill is never too large.",Positive
"Great food, great lay out and awesome service.",Positive
I've rarely had a problem with slow staff in the 10 years I've been going.,Positive
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",Negative
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",Positive
it helps if you know what to order.,Neutral
We had a great time at the Jekyll and hyde Pub last night.,Positive
I just do not understand what the fuss is all about.,Negative
DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,Neutral
"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",Positive
"Overall, not worth the money.",Negative
"The main course had an average portion, and was decent overall.",Neutral
Its worth the wait though.,Neutral
As always we had a great glass of wine while we waited.,Positive
"A few tips: skip the turnip cake, roast pork buns and egg custards.",Negative
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",Positive
Hurley's is terrific!,Positive
"whoever the jazz duo was, they were on POINT.",Positive
"However, I think this place is a good hang out spot.",Positive
Much more reasonably priced too!,Positive
Prices are in line.,Neutral
There is actually space to breathe and the decor sets the tone for an intimate dinner.,Neutral
The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,Positive
Chance is a joke.,Negative
Satisfying.,Positive
We had a girls' night dinner here for restaurant week.,Neutral
"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",Positive
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",Neutral
"The food is good, I can't lie.",Positive
I had the duck breast special on my last visit and it was incredible.,Positive
"Try the Pad Thai, it's fabulous and their prices are so cheap!",Positive
Highly recommended to all!,Positive
I wish they would change back to what it was before.,Negative
The counter service is bad.,Negative
I just wonder how you can have such a delicious meal for such little money.,Positive
Rosario's is without a doubt one of the greatest pizzerias in existence.,Positive
We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,Neutral
"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",Neutral
I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,Neutral
"Because of the delicate thin crust, take-out pies get soggy in their boxes.",Negative
"The Dim Sum was so-so, but not spectacular.",Neutral
Sushi wasn't anything spectacular for the price.,Neutral
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",Neutral
The catch is that you are charged extra for ANYTHING that you leave on your plate so don't be a greedy pig!,Negative
"The bread and lamb chops I had before the meal were quite good, however.",Neutral
It is simply amazing.,Positive
Made my dining experience uncomfortable.,Negative
But trust me it is so worth it.,Positive
This restaurant was way overhyped.,Negative
I could have drank 4 glasses of water and still been parched - so watch out.,Neutral
Our server checked on us maybe twice during the entire meal.,Neutral
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",Positive
We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.,Positive
I think the stuff was better than Disney.,Positive
"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.",Neutral
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",Neutral
"La Rosa waltzes in, and I think they are doing it the best.",Positive
This is the best sushi in new york city - hands down.,Positive
Go only if you are already in the neighborhood and don't want to bother going farther for a better place.,Negative
"Not only is the cuisine the best around, the service has always been attentive and charming.",Positive
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",Neutral
Avoid at all costs.,Negative
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",Negative
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,Positive
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",Positive
"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.",Positive
They are often crowded on the weekends but they are efficient and accurate with their service.,Neutral
I plan on stopping by next week as well.,Positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",Neutral
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,Positive
